City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
107,Saint George,US,2022-11-12 14:10:16,37.1041,-113.5841,34.39,64,0,0.0,clear sky
108,Kidal,ML,2022-11-12 14:10:16,18.4411,1.4078,90.34,12,92,16.69,overcast clouds
109,Yellowknife,CA,2022-11-12 14:04:11,62.456,-114.3525,10.67,98,70,5.46,broken clouds
110,Moose Factory,CA,2022-11-12 14:10:16,51.2585,-80.6094,26.58,86,100,13.8,overcast clouds
111,Moree,AU,2022-11-12 14:10:17,-29.4667,149.85,71.87,68,67,9.73,broken clouds
112,Kaitangata,NZ,2022-11-12 14:10:17,-46.2817,169.8464,45.88,69,74,4.68,broken clouds
113,Fairbanks,US,2022-11-12 14:06:42,64.8378,-147.7164,17.94,86,20,0.0,few clouds
114,Nushki,PK,2022-11-12 14:10:17,29.5542,66.0215,67.28,29,93,2.15,overcast clouds
115,Mokhsogollokh,RU,2022-11-12 14:10:18,61.4681,128.9203,13.95,95,100,5.84,light snow
116,Gairo,IT,2022-11-12 14:10:18,39.8497,9.5047,61.18,56,99,4.47,overcast clouds
117,San Ramon De La Nueva Oran,AR,2022-11-12 14:08:43,-23.1322,-64.326,91.42,37,0,3.6,clear sky
118,Chenzhou,CN,2022-11-12 14:10:18,25.8,113.0333,73.63,55,0,3.09,clear sky
119,Bathsheba,BB,2022-11-12 14:10:19,13.2167,-59.5167,86.61,70,20,8.05,few clouds
120,Salalah,OM,2022-11-12 14:10:19,17.0151,54.0924,81.07,58,0,6.58,clear sky
121,Cururupu,BR,2022-11-12 14:10:19,-1.8283,-44.8683,83.86,66,97,5.99,overcast clouds
122,Pevek,RU,2022-11-12 14:06:41,69.7008,170.3133,-12.35,96,100,2.86,overcast clouds
123,Esperance,AU,2022-11-12 14:04:13,-33.8667,121.9,58.12,82,100,20.92,overcast clouds
124,Bredasdorp,ZA,2022-11-12 14:02:51,-34.5322,20.0403,79.14,30,0,25.72,clear sky
125,Yerofey Pavlovich,RU,2022-11-12 14:10:21,53.9667,121.9667,5.74,95,5,2.19,clear sky
126,Atambua,ID,2022-11-12 14:10:21,-9.1061,124.8925,76.98,85,100,1.16,overcast clouds
127,Derzhavinsk,KZ,2022-11-12 14:10:22,51.1,66.3167,37.56,76,100,24.72,overcast clouds
128,Salina Cruz,MX,2022-11-12 14:07:01,16.1667,-95.2,80.11,78,32,2.04,scattered clouds
129,Kieta,PG,2022-11-12 14:10:22,-6.2167,155.6333,78.48,88,100,3.24,light rain
130,Guerrero Negro,MX,2022-11-12 14:10:22,27.9769,-114.0611,58.42,58,29,4.07,scattered clouds
131,Lorengau,PG,2022-11-12 14:10:23,-2.0226,147.2712,79.61,85,99,5.41,overcast clouds
132,Sarankhola,BD,2022-11-12 14:10:23,22.3082,89.7897,71.01,68,6,4.32,clear sky
133,Yumen,CN,2022-11-12 14:11:23,40.2833,97.2,34.95,41,80,13.02,broken clouds
134,Ilovlya,RU,2022-11-12 14:08:16,49.3033,43.9796,44.35,81,100,14.54,overcast clouds
135,Kiama,AU,2022-11-12 14:11:24,-34.6833,150.8667,66.0,93,75,2.24,light rain
136,Uzyn,UA,2022-11-12 14:11:24,49.8262,30.4149,50.99,66,58,11.21,broken clouds
137,Port Blair,IN,2022-11-12 14:11:24,11.6667,92.75,81.23,80,100,8.3,overcast clouds
138,Bosaso,SO,2022-11-12 14:11:25,11.2842,49.1816,80.64,71,24,12.15,few clouds
139,Pangnirtung,CA,2022-11-12 14:11:25,66.1451,-65.7125,-6.5,92,47,5.97,scattered clouds
140,Sitka,US,2022-11-12 14:11:25,57.0531,-135.33,42.69,75,100,13.8,light rain
141,Idlib,SY,2022-11-12 14:11:26,35.9306,36.6339,67.68,41,0,8.48,clear sky
142,Batamshinskiy,KZ,2022-11-12 14:11:26,50.5594,58.2747,33.93,87,100,26.22,overcast clouds
143,Chumikan,RU,2022-11-12 14:11:26,54.7183,135.315,11.48,88,38,17.4,scattered clouds
144,Venado Tuerto,AR,2022-11-12 14:11:14,-33.7456,-61.9688,66.76,80,100,8.84,moderate rain
145,Long Xuyen,VN,2022-11-12 14:11:26,10.3833,105.4167,75.15,81,99,2.26,overcast clouds
146,Ryotsu,JP,2022-11-12 14:11:27,38.0833,138.4333,62.11,66,78,7.31,broken clouds
147,Faanui,PF,2022-11-12 14:11:27,-16.4833,-151.75,77.52,79,100,9.73,overcast clouds
148,Sinop,TR,2022-11-12 14:11:27,41.7711,34.8709,51.17,84,2,3.96,clear sky
149,Svetlyy,RU,2022-11-12 14:11:28,54.675,20.1347,55.45,89,100,12.53,overcast clouds
150,Whitehorse,CA,2022-11-12 14:09:16,60.7161,-135.0538,20.48,95,100,6.89,overcast clouds
151,Aripuana,BR,2022-11-12 14:11:28,-9.1667,-60.6333,87.37,54,100,1.97,overcast clouds
152,Port Lincoln,AU,2022-11-12 14:11:28,-34.7333,135.8667,60.89,84,91,18.9,overcast clouds
153,Araouane,ML,2022-11-12 14:11:28,18.9048,-3.5265,91.85,8,94,6.44,overcast clouds
154,Opuwo,NA,2022-11-12 14:11:29,-18.0607,13.84,88.57,8,4,17.0,clear sky
155,Mayo,US,2022-11-12 14:11:29,38.8876,-76.5119,67.17,71,0,9.22,clear sky
156,Sao Joao Da Barra,BR,2022-11-12 14:11:29,-21.6403,-41.0511,80.69,81,100,13.4,light rain
157,Kalininsk,RU,2022-11-12 14:11:30,51.5,44.4758,45.43,81,100,20.29,overcast clouds
158,Brandon,US,2022-11-12 14:11:30,27.9378,-82.2859,76.08,96,0,3.0,mist
159,Lata,PT,2022-11-12 14:11:30,40.1629,-8.3327,73.49,51,10,6.76,clear sky
160,Vanavara,RU,2022-11-12 14:11:30,60.34,102.2797,23.31,88,100,10.31,overcast clouds
161,Mar Del Plata,AR,2022-11-12 14:07:52,-38.0023,-57.5575,77.83,86,75,12.66,broken clouds
162,Shizukuishi,JP,2022-11-12 14:11:31,39.6833,140.9833,51.08,94,85,1.92,overcast clouds
163,Asosa,ET,2022-11-12 14:11:31,10.0667,34.5333,73.04,56,100,3.47,overcast clouds
164,Caravelas,BR,2022-11-12 14:11:31,-17.7125,-39.2481,85.35,54,95,8.97,overcast clouds
165,Hilo,US,2022-11-12 13:58:32,19.7297,-155.09,69.24,93,49,5.01,scattered clouds
166,San Patricio,US,2022-11-12 14:11:32,28.017,-97.5169,49.84,53,81,16.11,broken clouds
167,Teeli,RU,2022-11-12 14:11:32,51.0333,90.2333,9.36,88,100,0.72,overcast clouds
168,Fortuna,US,2022-11-12 14:03:53,40.5982,-124.1573,43.36,99,100,10.36,overcast clouds
169,Grand Gaube,MU,2022-11-12 14:11:32,-20.0064,57.6608,76.37,60,14,7.0,few clouds
170,Pionerskiy,RU,2022-11-12 14:11:33,54.9508,20.2275,55.24,86,99,16.84,overcast clouds
171,Inhambane,MZ,2022-11-12 14:11:33,-23.865,35.3833,84.18,65,40,11.5,scattered clouds
172,Dukat,RU,2022-11-12 14:11:33,62.55,155.55,-22.07,99,19,2.71,few clouds
173,Sioux Lookout,CA,2022-11-12 14:11:17,50.1001,-91.917,10.76,96,100,6.26,overcast clouds
