Hotel_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
365,Niort,FR,68.16,clear sky,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
368,Promissao,BR,87.53,scattered clouds,-21.5367,-49.8581,Recanto Monte Cristo
369,Albi,FR,73.45,few clouds,43.9298,2.148,Au soleil d'Albi
370,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
373,Hirakud,IN,72.46,clear sky,21.5167,83.8667,Hotel Park In
374,Maumere,ID,80.92,overcast clouds,-8.6199,122.2111,Sylvia Hotel
376,South Venice,US,81.05,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
377,Bahia Honda,CU,77.52,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
379,Sambava,MG,77.32,clear sky,-14.2667,50.1667,Melrose
380,Dubbo,AU,66.33,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
383,Taltal,CL,65.46,broken clouds,-25.4,-70.4833,Residencial Karime
387,Hwange,ZW,78.21,light rain,-18.3693,26.5019,Hwange Colliery Guest House
389,Pyu,MM,72.12,clear sky,18.4833,96.4333,Mr Bo Bo
391,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
392,Mae Sai,TH,66.38,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
393,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
401,Srandakan,ID,78.57,light rain,-7.9386,110.2506,Puri Brata
402,Itarema,BR,85.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
403,Samarai,PG,81.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
404,Rocha,UY,75.13,clear sky,-34.4833,-54.3333,Hotel Arrarte
409,Naron,ES,70.65,scattered clouds,43.5167,-8.1528,Marcial
410,La Union,PE,68.95,broken clouds,-5.4,-80.75,Los Portales
411,Carutapera,BR,81.1,broken clouds,-1.195,-46.02,Lidera
412,Trelew,AR,69.84,overcast clouds,-43.249,-65.3051,Hotel Touring Club
413,Fontem,CM,80.2,light rain,5.4685,9.8818,Vista Palace Hotel
414,Gorontalo,ID,76.77,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
415,Lambari,BR,78.85,broken clouds,-21.9756,-45.3503,Summit Lago Hotel
416,Manta,EC,74.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
417,Bereda,ES,67.14,scattered clouds,43.2686,-7.5406,Pazo de Verdes
419,Tazmalt,DZ,74.71,clear sky,36.3868,4.3989,Hôtel Numédia
420,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
423,Delhi,IN,71.69,haze,28.6667,77.2167,Maidens Hotel
427,Trairi,BR,86.68,overcast clouds,-3.2778,-39.2689,janelas do mar
429,Mutum,BR,72.79,overcast clouds,-19.8,-41.4383,Hotel do Djalma
430,Santa Ines,BR,87.08,broken clouds,-3.6667,-45.38,Palace hotel
433,Catamarca,AR,80.58,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
434,Kaliua,TZ,76.77,overcast clouds,-5.0606,31.7936,Millennium Complex
435,General Roca,AR,68.63,light rain,-39.0333,-67.5833,Hotel El Recreo
436,Kutum,SD,82.31,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
437,Graaff-Reinet,ZA,85.26,broken clouds,-32.2522,24.5308,Rietjiesbos Self Catering
439,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
440,Necochea,AR,70.48,light rain,-38.5473,-58.7368,dyd -mar Hotel
442,Ca Mau,VN,76.57,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
444,Bilma,NE,84.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
445,Boende,CD,82.81,overcast clouds,-0.2167,20.8667,
446,Navirai,BR,83.88,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
447,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
449,Coahuayana,MX,73.04,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
451,Saurimo,AO,73.8,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
452,Candido Mendes,BR,83.41,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
454,Fairfield,US,70.18,broken clouds,41.2668,-73.3162,
455,Chandur,IN,71.04,scattered clouds,19.7333,79.1833,Devasni Chit Funds P Ltd(SURYA)
456,Port Keats,AU,83.62,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
457,Caucaia,BR,89.31,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
458,Hobe Sound,US,80.98,few clouds,27.0595,-80.1364,Floridays RV Park
459,Fukue,JP,69.78,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
