City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Kushmurun,KZ,2022-11-08 14:31:01,52.4503,64.6311,29.52,97,100,7.43
108,New Norfolk,AU,2022-11-08 14:31:02,-42.7826,147.0587,58.91,54,100,0.6
109,Longyearbyen,SJ,2022-11-08 14:31:02,78.2186,15.6401,19.24,79,75,9.22
110,Busselton,AU,2022-11-08 14:31:02,-33.65,115.3333,59.79,77,78,3.2
111,Coihaique,CL,2022-11-08 14:31:03,-45.5752,-72.0662,59.61,67,75,2.3
112,Pakokku,MM,2022-11-08 14:31:03,21.3333,95.1,75.63,59,8,4.03
113,Mandalgovi,MN,2022-11-08 14:31:03,45.7625,106.2708,36.27,36,99,4.81
114,Mar Del Plata,AR,2022-11-08 14:29:06,-38.0023,-57.5575,74.82,56,0,12.66
115,Cherskiy,RU,2022-11-08 14:31:04,68.75,161.3,-9.02,100,87,4.45
116,Atar,MR,2022-11-08 14:31:04,20.5169,-13.0499,95.63,11,100,10.09
117,Sorland,NO,2022-11-08 14:31:05,67.667,12.6934,42.66,70,20,21.85
118,Poum,NC,2022-11-08 14:31:05,-20.2333,164.0167,76.87,82,29,15.64
119,Ponta Do Sol,PT,2022-11-08 14:31:05,32.6667,-17.1,78.01,77,83,7.31
120,Hasaki,JP,2022-11-08 14:31:06,35.7333,140.8333,51.22,54,1,8.61
121,Havre-Saint-Pierre,CA,2022-11-08 14:31:06,50.2334,-63.5986,39.2,70,75,14.97
122,Aswan,EG,2022-11-08 14:31:06,24.0934,32.907,83.5,21,0,10.36
123,Lithgow,AU,2022-11-08 14:31:07,-33.4833,150.15,48.74,94,76,2.35
124,Ashland,US,2022-11-08 14:31:07,40.8167,-82.2665,46.02,75,44,11.88
125,Pevek,RU,2022-11-08 14:31:07,69.7008,170.3133,-6.92,100,85,5.1
126,Senador Jose Porfirio,BR,2022-11-08 14:31:08,-2.5908,-51.9542,84.81,61,83,2.91
127,Qarqin,AF,2022-11-08 14:31:08,37.4185,66.0436,45.97,51,2,8.08
128,Nieuw Amsterdam,SR,2022-11-08 14:31:08,5.8833,-55.0833,87.03,74,40,3.44
129,Goba,ET,2022-11-08 14:31:09,7.0167,39.9833,50.72,94,51,2.04
130,Xuanzhou,CN,2022-11-08 14:31:09,30.9525,118.7553,60.15,78,0,7.78
131,Ola,RU,2022-11-08 14:31:09,59.5833,151.2833,14.31,76,98,7.25
132,Maceio,BR,2022-11-08 14:31:10,-9.6658,-35.7353,89.04,51,40,4.61
133,Saint-Philippe,RE,2022-11-08 14:31:10,-21.3585,55.7679,76.59,78,47,9.71
134,Thompson,CA,2022-11-08 14:30:52,55.7435,-97.8558,1.56,85,100,10.36
135,Wajima,JP,2022-11-08 14:31:10,37.4,136.9,55.29,58,3,7.29
136,Hopkinsville,US,2022-11-08 14:27:57,36.8656,-87.4886,60.87,48,91,10.6
137,Ha Giang,VN,2022-11-08 14:31:11,22.8333,104.9833,67.44,84,19,2.71
